Market ID,Market Name,Total Matched
1.230303037,Match Odds,209685.54
1.230303042,Over/Under 0.5 Goals,35376.29
1.230302990,Asian Handicap,34698.64
1.230302976,Over/Under 2.5 Goals,26891.56
1.230303047,Correct Score,10171.08
1.230303050,Goal Lines,7056.03
1.230302977,Over/Under 4.5 Goals,4220.68
1.230302980,Over/Under 1.5 Goals,3079.5
1.230303039,Double Chance,2401.45
1.230303024,Draw no Bet,2175.67
1.230303036,Both teams to Score?,2160.22
1.230303049,Match Odds and Over/Under 2.5 Goals,1790.74
1.230302989,Over/Under 3.5 Goals,1386.51
1.230303046,Over/Under 5.5 Goals,609.08
1.230302973,Match Odds and Both teams to Score,579.5
1.230303090,Germany Over/Under 0.5 Goals,501.86
1.230303038,Total Goals Odd/Even,444.2
1.230303033,Over/Under 7.5 Goals,208.0
1.230303087,Germany Over/Under 1.5 Goals,171.48
1.230303040,Spain +1,146.84
1.230303032,Germany Win to Nil,124.29
1.230303044,Over/Under 6.5 Goals,56.46
1.230303086,Spain Over/Under 1.5 Goals,32.5
1.230303026,Germany +1,10.68
1.230303034,Over/Under 8.5 Goals,8.78
1.230303089,Spain Over/Under 0.5 Goals,6.5
1.230303085,Match Odds and Over/Under 3.5 Goals,4.6
1.230303031,Spain Win to Nil,2.13
1.230303030,Germany +3,2.02
1.230302982,Correct Score 2 Home,0.52
1.230302983,Correct Score 2 Away,0.28
1.230303025,Spain +2,0.0
1.230303028,Spain +3,0.0
1.230303088,Germany Over/Under 2.5 Goals,0.0
1.230303029,Germany +2,0.0
1.230303084,Spain Over/Under 2.5 Goals,0.0
