,Event Name,Event ID,Event Venue,Country Code,Time Zone,Open Date,Market Count
0,Orlando Pirates (SA) v Granada,33422204,,,GMT,2024-07-17 17:00:00,16
1,Zrinjski v Zeljeznicar,33424242,,,GMT,2024-07-18 18:30:00,24
2,NAC Breda v FC Eindhoven,33422258,,,GMT,2024-07-17 17:30:00,18
3,Lichtenberg 47 v FC Hertha 03 Zehlendorf,33422061,,,GMT,2024-07-17 17:00:00,16
4,Teutonia St. Tonis v Uerdingen,33422060,,,GMT,2024-07-17 17:30:00,15
5,Velbert v Wuppertaler,33423150,,,GMT,2024-07-17 17:30:00,18
6,Cork City v Stoke,33423273,,,GMT,2024-07-17 18:45:00,24
7,FC Liege v KSK Tongeren,33423785,,,GMT,2024-07-17 17:00:00,24
8,Hapoel Raanana v Maccabi Kabilio Jaffa,33423779,,,GMT,2024-07-18 06:00:00,24
9,Heist v Yellow-Red Mechelen,33422242,,,GMT,2024-07-17 17:30:00,19
10,Turu Dusseldorf v Fortuna Dusseldorf II,33423197,,,GMT,2024-07-17 17:00:00,16
11,Hearts v Tottenham,33424094,,,GMT,2024-07-17 18:00:00,24
12,Sporting Lisbon v Union St Gilloise,33422168,,,GMT,2024-07-17 19:30:00,24
13,Verl v Schalke 04,33423827,,,GMT,2024-07-18 16:30:00,24
14,Solihull Moors v Birmingham,33422928,,,GMT,2024-07-17 18:00:00,22
15,Metropolitan Police v AFC Wimbledon,33423245,,,GMT,2024-07-17 18:15:00,24
16,Walsall v Aston Villa,33424072,,,GMT,2024-07-17 18:30:00,24
17,Omonia v AEK Athens,33423306,,,GMT,2024-07-18 17:00:00,24
18,Galatasaray v Trencin,33423814,,,GMT,2024-07-18 17:30:00,24
19,Mainz v Eintracht Trier,33423815,,,GMT,2024-07-18 16:00:00,24
20,Olot v Girona,33422788,,,GMT,2024-07-17 17:00:00,16
21,Debreceni VSC v Zilina,33423300,,,GMT,2024-07-18 16:00:00,24
22,Ossett United v Curzon Ashton,33423303,,,GMT,2024-07-17 18:45:00,24
23,MTV Wolfenbuttel v Viktoria Berlin,33423364,,,GMT,2024-07-17 17:00:00,13
24,Holstebro v Thisted,33422273,,,GMT,2024-07-17 16:30:00,1
25,Racing Santander v Alaves,33422275,,,GMT,2024-07-17 17:00:00,19
26,Panaitolikos v Lamia,33423298,,,Europe/London,2024-07-18 15:30:00,24
